,Cust_Id,NPS_Score,NPS_Category,Timely_delivery,No_of_calls_in_an_Order,Loyalty_Years,C_Marital_Status,Tier_City,Mode_of_Payment,No_of_Items_in_Order,Gender,Order_Mode,Score_on_Food_Quality,Score_on_Order_Logistics,Menu_Presentation_Score,Score_on_Recommendations,Score_on_Delivery_Person_Friendliness,lab
0,1,1,Detractor,N,4,5,Married,Tier1,Card,7,M,call,2,5,4,8,5,0
2,3,0,Detractor,N,4,7,Married,Tier3,Cash,1,M,call,4,2,7,8,2,0
3,4,0,Detractor,N,4,1,Not Married,Tier1,Ziggy Credit,1,F,call,9,3,4,10,5,0
4,5,4,Detractor,N,4,10,Married,Tier2,Card,6,M,call,7,1,6,7,4,0
6,7,0,Detractor,N,4,3,Married,Tier1,Cash,7,M,call,9,4,3,3,1,0
7,8,1,Detractor,N,4,7,Not Married,Tier2,Ziggy Credit,4,F,call,9,1,5,10,2,0
10,11,4,Detractor,N,4,9,Married,Tier2,Cash,4,M,call,10,1,1,1,6,0
11,12,8,Passives,Y,4,1,Not Married,Tier3,Ziggy Credit,7,F,call,6,2,1,7,3,0
12,13,2,Detractor,N,4,4,Married,Tier1,Card,3,M,call,9,3,6,6,3,0
13,14,7,Passives,N,4,9,Not Married,Tier2,e-Wallet,1,F,m-comm,9,3,9,8,7,0
15,16,6,Detractor,N,4,10,Not Married,Tier1,Ziggy Credit,3,F,call,10,5,8,5,4,0
16,17,6,Detractor,N,4,3,Married,Tier2,Card,5,M,call,10,2,6,10,4,0
17,18,2,Detractor,N,4,5,Not Married,Tier3,e-Wallet,4,F,call,4,4,10,4,8,0
18,19,4,Detractor,N,4,4,Married,Tier1,Cash,4,M,call,10,2,7,6,4,0
22,23,5,Detractor,Y,4,2,Married,Tier2,Cash,1,M,e-comm,10,1,3,9,4,0
29,30,6,Detractor,N,4,1,Not Married,Tier3,e-Wallet,6,F,call,8,4,7,1,4,0
32,33,3,Detractor,N,4,4,Married,Tier3,Card,3,M,call,7,2,4,2,4,0
36,37,3,Detractor,Y,4,3,Married,Tier1,Card,5,M,e-comm,10,3,8,1,3,0
37,38,6,Detractor,Y,4,9,Not Married,Tier2,e-Wallet,1,F,e-comm,9,5,3,7,4,0
42,43,8,Passives,Y,4,1,Married,Tier1,Cash,3,M,e-comm,9,3,1,7,6,0
43,44,0,Detractor,Y,4,8,Not Married,Tier2,Ziggy Credit,2,F,call,10,2,6,10,4,0
45,46,6,Detractor,Y,4,5,Not Married,Tier1,e-Wallet,1,F,call,10,3,8,3,3,0
46,47,7,Passives,Y,4,3,Married,Tier2,Cash,7,M,m-comm,9,5,1,8,3,0
50,51,7,Passives,N,4,3,Married,Tier3,Cash,1,M,call,4,1,2,8,7,0
51,52,0,Detractor,N,4,6,Not Married,Tier1,Ziggy Credit,4,F,call,9,6,4,8,5,0
52,53,1,Detractor,N,4,5,Married,Tier2,Card,1,M,call,9,1,3,4,4,0
54,55,6,Detractor,N,4,2,Married,Tier1,Cash,6,M,call,9,1,1,5,5,0
60,61,1,Detractor,Y,4,8,Married,Tier1,Card,1,M,m-comm,9,4,3,10,2,0
61,62,8,Passives,N,4,4,Not Married,Tier2,e-Wallet,3,F,m-comm,10,2,2,4,1,0
63,64,5,Detractor,Y,4,2,Not Married,Tier1,Ziggy Credit,5,F,m-comm,10,4,6,3,2,0
64,65,5,Detractor,Y,4,4,Married,Tier2,Card,1,M,m-comm,9,3,1,9,5,0
66,67,0,Detractor,Y,4,2,Married,Tier1,Cash,1,M,m-comm,9,3,8,10,4,0
67,68,4,Detractor,Y,4,3,Not Married,Tier2,Ziggy Credit,3,F,m-comm,9,4,6,6,1,0
71,72,1,Detractor,N,4,10,Not Married,Tier3,Ziggy Credit,7,F,call,6,1,7,9,4,0
72,73,1,Detractor,Y,4,1,Married,Tier2,Card,6,M,m-comm,10,6,2,5,7,0
75,76,2,Detractor,Y,4,4,Not Married,Tier1,Ziggy Credit,4,F,m-comm,9,5,1,6,5,0
79,80,5,Detractor,Y,4,8,Not Married,Tier2,Ziggy Credit,7,F,m-comm,9,2,6,3,1,0
82,83,2,Detractor,Y,4,5,Married,Tier2,Cash,1,M,m-comm,10,4,5,2,3,0
84,85,2,Detractor,Y,4,9,Married,Tier1,Card,3,M,m-comm,9,4,8,2,1,0
88,89,7,Passives,Y,4,6,Married,Tier2,Card,5,M,m-comm,9,2,9,3,5,0
90,91,6,Detractor,Y,4,3,Married,Tier1,Cash,3,M,m-comm,9,1,3,3,6,0
91,92,5,Detractor,Y,4,3,Not Married,Tier2,Ziggy Credit,7,F,m-comm,10,1,9,3,3,0
92,93,7,Passives,N,4,5,Married,Tier3,Card,4,M,call,4,1,4,8,1,0
95,96,7,Passives,Y,4,4,Not Married,Tier3,Ziggy Credit,1,F,call,7,1,6,2,6,0
100,101,5,Detractor,Y,4,2,Married,Tier2,Card,3,M,m-comm,10,6,3,5,5,0
104,105,7,Passives,N,4,8,Married,Tier3,Card,1,M,call,8,5,3,10,3,0
106,107,6,Detractor,Y,4,1,Married,Tier2,Cash,1,M,m-comm,10,3,10,4,3,0
109,110,6,Detractor,Y,4,8,Not Married,Tier2,e-Wallet,7,F,m-comm,9,3,7,1,2,0
112,113,0,Detractor,Y,4,10,Married,Tier2,Card,2,M,m-comm,9,4,10,10,6,0
114,115,4,Detractor,Y,4,8,Married,Tier1,Cash,4,M,m-comm,10,2,7,7,5,0
115,116,2,Detractor,Y,4,9,Not Married,Tier2,Ziggy Credit,3,F,m-comm,9,1,4,8,1,0
124,125,0,Detractor,Y,4,7,Married,Tier2,Card,6,M,m-comm,9,1,1,3,6,0
126,127,0,Detractor,Y,4,9,Married,Tier1,Cash,3,M,m-comm,10,6,6,8,5,0
130,131,0,Detractor,Y,4,7,Married,Tier2,Cash,5,M,m-comm,9,2,10,7,6,0
132,133,1,Detractor,Y,4,4,Married,Tier1,Card,3,M,m-comm,9,4,1,9,4,0
139,140,6,Detractor,Y,4,1,Not Married,Tier2,Ziggy Credit,2,F,m-comm,9,3,1,8,2,0
142,143,4,Detractor,Y,4,10,Married,Tier2,Cash,4,M,m-comm,9,3,8,5,2,0
144,145,0,Detractor,Y,4,2,Married,Tier1,Card,1,M,m-comm,9,5,9,5,5,0
148,149,2,Detractor,Y,4,3,Married,Tier2,Card,1,M,m-comm,10,5,7,10,3,0
150,151,2,Detractor,Y,4,6,Married,Tier1,Cash,5,M,m-comm,9,4,4,2,6,0
151,152,1,Detractor,Y,4,4,Not Married,Tier2,Ziggy Credit,7,F,m-comm,10,3,10,1,4,0
154,155,6,Detractor,Y,4,2,Married,Tier2,Cash,5,M,m-comm,9,2,10,9,1,0
155,156,7,Passives,N,4,4,Not Married,Tier3,Ziggy Credit,1,F,call,5,2,7,3,4,0
157,158,3,Detractor,Y,4,2,Not Married,Tier2,e-Wallet,4,F,m-comm,9,5,8,3,1,0
159,160,2,Detractor,Y,4,8,Not Married,Tier1,Ziggy Credit,1,F,m-comm,10,2,4,9,4,0
161,162,7,Passives,Y,4,8,Not Married,Tier3,e-Wallet,6,F,call,5,3,8,10,2,0
163,164,6,Detractor,Y,4,3,Not Married,Tier2,Ziggy Credit,2,F,m-comm,9,1,6,5,2,0
164,165,7,Passives,N,4,10,Married,Tier3,Card,4,M,call,7,5,4,6,5,0
166,167,2,Detractor,Y,4,7,Married,Tier2,Cash,7,M,m-comm,10,1,7,2,6,0
167,168,7,Passives,N,4,5,Not Married,Tier3,Ziggy Credit,6,F,call,4,3,3,2,4,0
172,173,0,Detractor,Y,4,1,Married,Tier2,Card,2,M,m-comm,10,4,1,2,4,0
173,174,7,Passives,N,4,1,Not Married,Tier3,e-Wallet,1,F,call,6,6,8,9,4,0
174,175,6,Detractor,Y,4,6,Married,Tier1,Cash,1,M,m-comm,10,3,8,10,2,0
